user_id,repo_id,exact_contributions
17801590,3482588,1
616169,15634981,1
70637,155220641,1
8564681,34526884,1
108965572,643445235,1
13183389,45717250,1
3382565,34526884,1
38031149,643445235,1
33532941,45717250,1
22541141,15634981,1
62349500,3482588,1
444313,15634981,1
51219535,557980,1
37739354,34526884,1
16603773,155220641,1
43774355,155220641,1
159576755,3482588,1
10457038,557980,1
35401187,34526884,1
134299963,15634981,1
23009387,643445235,1
81271,3482588,1
6300973,15634981,1
190869220,155220641,1
61958072,155220641,1
25069493,45717250,1
18749772,643445235,1
91340792,45717250,1
67275060,557980,1
38454954,45717250,1
4001805,557980,1
19517627,155220641,1
89009912,15634981,1
242256367,3482588,1
510957,557980,1
43467008,155220641,1
23208309,34526884,1
68098251,643445235,1
263536286,45717250,1
3314350,15634981,1
23344461,45717250,1
101238421,34526884,1
6136439,3482588,1
14817203,557980,1
64475363,643445235,1
24516654,34526884,1
34819234,3482588,1
67442508,155220641,1
276118,15634981,1
257311524,3482588,1
21942252,643445235,1
67216143,34526884,1
7423210,45717250,1
16229538,15634981,1
286431,557980,1
51142400,155220641,1
59047063,643445235,1
22376783,34526884,1
3418190,15634981,1
3478203,34526884,1
205760,557980,1
33759007,155220641,1
20389365,45717250,1
3358854,643445235,1
19776,3482588,1
46539626,15634981,1
2155368,45717250,1
31933655,3482588,1
150330,557980,1
7491256,155220641,1
38061659,155220641,1
127009,34526884,1
163549,15634981,1
110027,557980,1
14043035,3482588,1
55563027,643445235,1
62866798,15634981,1
33000171,34526884,1
1646728,3482588,1
49083850,643445235,1
35147741,45717250,1
17675462,155220641,1
5364897,557980,1
31410728,45717250,1
57086651,34526884,1
93891533,643445235,1
26867637,3482588,1
15171576,45717250,1
2818768,557980,1
1876691,15634981,1
32908423,15634981,1
15064535,557980,1
60493024,45717250,1
36873908,643445235,1
89735151,643445235,1
1264369,3482588,1
11027840,3482588,1
9512969,34526884,1
1389937,45717250,1
463175,34526884,1
1229702,557980,1
115986922,155220641,1
16166258,34526884,1
5330692,15634981,1
23303033,155220641,1
6402205,155220641,1
62173814,643445235,1
64321089,643445235,1
40037088,3482588,1
67999,34526884,1
51330950,15634981,1
15611832,557980,1
47289574,155220641,1
7024016,15634981,1
56260319,45717250,1
74185756,3482588,1
53312921,45717250,1
